id_corretor,sk_house,id_visita,dt_visita,hr_visita,price,predicted_price_70,partner_3p_supply,house_address,house_zipcode,house_neighborhood,house_city,house_lat,house_lng,floor,house_bathrooms,house_bedrooms,house_suites,house_garages,house_type,house_total_area,sk_condo,name,days_published,os,vb,last_price_down,previous_price_variation,date,monday_status,sale_price_agreed
33092,894761797,32031703,2025-06-07,14:00,825000,837919,,Rua Fábio Lopes dos Santos Luz,05717-230,Vila Andrade,São Paulo,-23.6330331,-46.7312661,850000,4,4,1,2,Apartamento,128,,894761797-808.395096147310520250131IMG7892.JPG,131,3,8,2025-02-05,-0.0506,2025-05-01,Canceladas em negociação,750000
33092,893794705,32032646,2025-06-07,16:00,850000,847690,Panamby,Rua Leonardo Cerveira Varandas,05705-270,Panamby,São Paulo,-23.6254943,-46.7202341,760000,3,3,1,2,Apartamento,110,,893794705-154.14915970969457DSC0038.jpg,976,1,26,2025-04-08,-0.0116,2024-10-08,Canceladas em negociação,890000
26252,894929099,32185465,2025-06-16,12:30,890000,907252,SantaSales,Rua Pedro Doll,02404-000,Santana,São Paulo,-23.491632,-46.628181,890000,2,3,2,2,Apartamento,110,,894929099-200.85895082662287c2a486c8-7d80-4a5c-9b60-89139d351384-LEAD3P-9ef4eb13-92d5-4288-bc36-9780cde4c188.jpg,16,0,4,,,,,
32325,894815977,32183347,2025-06-12,20:00,980000,903423,,Rua Frederico Guarinon,05713-460,Jardim Ampliacao,São Paulo,-23.6258483,-46.7310208,1100000,4,4,2,2,Apartamento,160,,894815977-799.792413420953IMG2725.jpg,90,0,4,2025-06-05,-0.02,,,
32325,894738809,32183598,2025-06-13,18:30,475000,444796,,Rua Eleutério,04602-030,Brooklin,São Paulo,-23.6252719,-46.6859207,572000,1,1,0,0,Apartamento,25,146612,894738809-681.199084748437Studio.jpg,144,0,8,2025-05-30,-0.0462,,,
32325,894851038,32183578,2025-06-13,18:00,479000,417417,,Rua Eleutério,04602-030,Brooklin,São Paulo,-23.6252719,-46.6859207,520000,1,1,0,0,Apartamento,25,,894851038-139.31963935605873IMG8128.jpg,79,0,7,2025-04-28,-0.0323,,,
32325,894775667,32184358,2025-06-13,19:30,519000,482923,,Rua Eleutério,04602-030,Brooklin,São Paulo,-23.6252719,-46.6859207,580000,1,1,1,0,Apartamento,29,,894775667-889.7083703450444MG0340.jpg,122,0,7,2025-03-14,-0.0495,,,
32325,893333153,32182513,2025-06-12,19:00,905000,861935,,Rua Frederico Guarinon,05713-460,Jardim Ampliacao,São Paulo,-23.6231902,-46.7315035,900000,3,4,2,2,Apartamento,160,,893333153-99.64434392882015imovel1.jpg,1471,1,18,2025-05-05,-0.0287,2023-07-05,Canceladas em negociação,855000
12809,892865481,32137257,2025-06-10,21:00,320000,305752,,Rua do Lavapés,01519-000,Cambuci,São Paulo,-23.5617874,-46.6285061,350000,1,1,1,0,Apartamento,35,24496,892865481-92.93574732175114DSC0121.JPG,527,1,4,2025-04-02,-0.0746,2025-06-10,Propostas Ongoing,256000
12809,894935700,32088418,2025-06-07,13:00,315000,277974,LopesMatriz,Rua Catumbi,03021-000,Belém,São Paulo,-23.5356478,-46.5995155,315000,1,1,0,0,Apartamento,32,,894935700-405.164484287440136130af60-01a7-4498-a182-ecc271db189b-LEAD3P-9c29178f-3d12-4f64-91d1-f23b9654be90.jpeg,15,0,1,,,,,
