id_corretor,sk_house,id_visita,dt_visita,hr_visita,price,predicted_price_70,partner_3p_supply,house_address,house_zipcode,house_neighborhood,house_city,house_lat,house_lng,first_price,house_bathrooms,house_bedrooms,house_suites,house_garages,house_type,house_total_area,sk_condo,name,days_published,os,vb,last_price_down,previous_price_variation,date,monday_status,sale_price_agreed,similar listing 1,similar listing 2,similar listing 3,similar listing 4,similar listing 5,similar listing 6,similar listing 7,similar listing 8,similar listing 9,similar listing info 1,similar listing info 2,similar listing info 3,similar listing info 4,similar listing info 5,similar listing info 6,similar listing info 7,similar listing info 8,similar listing info 9
32329,894681322,32309026,6/21/2025,17:00,449000,546786,,Rua Francisco Alarico Bérgamo,08230-010,Vila Taquari,São Paulo,-23.5265081,-46.4540856,555000,3,3,1,2,Casa,230,448770,894681322-228.48945029984026IMG0025.JPG,219,0,6,6/13/2025,-0.0426,,,,894031978,0,0,0,0,0,0,0,0,"3. Menos de 500m / 894031978-787.9252225892408IMG4499.jpg / 236 m² | 4quarto(s) | 3 ban. | 2 vaga(s) / Rua Doutor Miguel Guimarães, Vila Taquari - São Paulo / 425000 / Super preço /  / Muitas visitas",,,,,,,,
4323,894098767,32305882,6/20/2025,12:30,650000,624984,,Rua Bonnard,06465-134,Alphaville Empresarial,Barueri,-23.4867244,-46.8694233,690000,2,2,1,2,Apartamento,54,236717,894098767-956.6977004069274IMG2721.jpg,747,0,25,4/21/2025,-0.0615,,,,894498846,894914005,0,0,0,0,0,0,0,"2. Mesma rua / 894498846-143.189984412729440.JPG / 53 m² | 2quarto(s) | 2 ban. | 2 vaga(s) / Rua Bonnard, Alphaville Empresarial - Barueri / 665000 /  /  / Muitas visitas","2. Mesma rua / 894914005-988.5952213955659QuintoAndar24052025RuaBonard132APTO272C001.jpg / 54 m² | 2quarto(s) | 2 ban. | 2 vaga(s) / Rua Bonnard, Alphaville Empresarial - Barueri / 692000 /  /  / ",,,,,,,
30330,894923552,32155025,6/11/2025,14:00,780000,714570,,Rua Artur de Azevedo,05402-000,Cerqueira César,São Paulo,-23.5579477,-46.6743434,780000,1,2,0,1,Apartamento,55,,894923552-889.3246124987598EOSR7772.JPG,23,0,3,,,,,,894659878,894931330,894903337,0,0,0,0,0,0,"2. Mesma rua / 894659878-876.1867414132018IMG3383.jpg / 55 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Artur de Azevedo, Cerqueira César - São Paulo / 745000 / Super preço /  / Muitas visitas","4. Menos de 1500m / 894931330-933.21587817467665e0f6cba-ed57-481f-8f72-debaf01ecd68-LEAD3P-3703186d-12f0-4160-89da-248d673ca3e0.jpg / 55 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Alameda Santos, Cerqueira César - São Paulo / 730000 /  /  / ","5. Mesmo bairro / 894903337-692.4828186886804DSC04256.jpg / 52 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Frei Caneca, Cerqueira César - São Paulo / 680000 /  /  / ",,,,,,
32315,894701414,32174110,6/14/2025,13:30,440000,482724,,Av. Antônio Bernardo Silvestre,08011-390,Vila São Silvestre (zona Leste),São Paulo,-23.4999553,-46.4441652,460000,3,3,1,2,CasaCondominio,99,,894701414-253.99900338638682IMG8605.jpg,202,,,5/6/2025,-0.0123,45719,Canceladas em negociação,426000,0,0,0,0,0,0,0,0,0,,,,,,,,,
32315,894203670,32160670,6/11/2025,16:45,415000,297939,,Avenida Manoel dos Santos Braga,03807-320,Vila Robertina,São Paulo,-23.501381,-46.4740662,395000,1,2,0,2,Apartamento,57,134378,894203670-716.8641789123815IMG7870.jpg,673,0,4,4/16/2024,-0.0547,,,,0,0,0,0,0,0,0,0,0,,,,,,,,,
12774,894599235,32179310,6/14/2025,17:00,340000,376708,,Rua Ausonia,02308-050,Vila Mazzei,São Paulo,-23.477226,-46.6056748,430000,1,2,0,1,Apartamento,76,,894599235-471.708408528284DSC9438.JPG,301,0,9,5/22/2025,-0.0145,,,,894482667,0,0,0,0,0,0,0,0,"4. Menos de 1500m / 894482667-504.21610707052264MG3995.jpg / 65 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Avenida Mazzei, Vila Mazzei - São Paulo / 330000 /  /  / Muitas visitas",,,,,,,,
32328,894663092,32135488,6/13/2025,22:00,455000,406231,,Rua Vitorino Carmilo,01153-000,Barra Funda,São Paulo,-23.5316415,-46.6521846,460000,1,2,0,1,Apartamento,48,15560,894663092-980.2597844406987IMG2764.jpg,235,1,11,1/31/2025,-0.0109,45654,Canceladas pós Aceite,446000,893548364,894890020,893912877,894876473,894904645,894693288,893140227,893232204,894307829,"2. Mesma rua / 893548364-229.51993291875883DSC09049.jpg / 50 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Vitorino Carmilo, Barra Funda - São Paulo / 478000 /  /  / Muitas visitas","2. Mesma rua / 894890020-879.1558815979342IMG5211.jpg / 49 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Vitorino Carmilo, Barra Funda - São Paulo / 495000 /  /  / ","3. Menos de 500m / 893912877-509.12892636080153IMG2672.jpg / 47 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Brigadeiro Galvão, Barra Funda - São Paulo / 500000 /  / Redução recente / ","3. Menos de 500m / 894876473-125.622276441322954d73255c-c997-45b0-bdc0-b1ff62338a1c-LEAD3P-eb229952-6bd2-47d6-a64b-ed1d129d93e3.jpg / 52 m² | 2quarto(s) | 2 ban. | 1 vaga(s) / Rua Barra Funda, Barra Funda - São Paulo / 480000 /  /  / ","3. Menos de 500m / 894904645-246.38056526885077quintoandar49.jpg / 48 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Sousa Lima, Barra Funda - São Paulo / 495000 /  /  / Muitas visitas","3. Menos de 500m / 894693288-48.229281463739621000202643.jpg / 47 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Sousa Lima, Barra Funda - São Paulo / 499000 /  /  / Muitas visitas","4. Menos de 1500m / 893140227-497.2849223674749IMG7043.jpg / 41 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Cônego Vicente Miguel Marino, Barra Funda - São Paulo / 390000 /  /  / Muitas visitas","4. Menos de 1500m / 893232204-218.52080685224874IMG2060.JPG / 49 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Cônego Vicente Miguel Marino, Barra Funda - São Paulo / 455000 /  / Redução recente / ","4. Menos de 1500m / 894307829-876.4599620247182IMG7921.JPG / 54 m² | 2quarto(s) | 1 ban. | 1 vaga(s) / Rua Brigadeiro Galvão, Barra Funda - São Paulo / 425000 / Super preço / Redução recente / Muitas visitas"
32331,894880273,32198669,6/13/2025,18:00,447500,440086,,Rua Engenheiro Guilherme Cristiano Frender,03477-000,Vila Antonieta,São Paulo,-23.5682346,-46.5109016,500000,2,3,1,2,Apartamento,70,35530,894880273-328.97283045365145IMG4457.jpg,46,1,5,6/9/2025,-0.105,45826,Propostas em validação,440000,0,0,0,0,0,0,0,0,0,,,,,,,,,
26252,894142317,32331662,6/21/2025,14:30,450000,424196,,Rua Alexandre Levi,01520-000,Cambuci,São Paulo,-23.5586693,-46.621208,450000,2,3,1,1,Apartamento,61,40447,894142317-655.0403026180458MG9140.jpg,173,0,2,5/23/2025,-0.0222,,,,893010519,893120777,894182865,894896618,892826276,893703047,893782732,894537873,894645130,"1. Mesmo Condomínio / 893010519-35.3352422780404118012020MG3395.jpg / 68 m² | 3quarto(s) | 2 ban. | 1 vaga(s) / R. Alexandre Leví, Cambuci - São Paulo / 495000 /  / Redução recente / ","2. Mesma rua / 893120777-750.2554769001706MG9235.JPG / 67 m² | 3quarto(s) | 3 ban. | 1 vaga(s) / Rua Alexandre Levi, Cambuci - São Paulo / 435000 / Super preço /  / Muitas visitas","2. Mesma rua / 894182865-192.68985300338315MG8525.JPG / 62 m² | 3quarto(s) | 2 ban. | 1 vaga(s) / Rua Alexandre Levi, Cambuci - São Paulo / 430000 / Super preço /  / Muitas visitas","2. Mesma rua / 894896618-553.57839183547735236699b-aa96-4127-a808-04035c70b8ad-LEAD3P-4d058e0a-6b5e-4400-b455-6abf4d6ff22e.jpg / 60 m² | 3quarto(s) | 2 ban. | 2 vaga(s) / Rua Alexandre Levi, Cambuci - São Paulo / 456500 /  /  / ","3. Menos de 500m / 892826276-445.91837697308137MCD7603.jpg / 67 m² | 3quarto(s) | 2 ban. | 1 vaga(s) / Rua Alexandre Levi, Cambuci - São Paulo / 470000 / Super preço /  / Muitas visitas","2. Mesma rua / 893703047-838.077618216604720220831145007.jpg / 62 m² | 3quarto(s) | 2 ban. | 2 vaga(s) / Rua Alexandre Levi, Cambuci - São Paulo / 495000 /  /  / ","2. Mesma rua / 893782732-474.76818864097294Tratadas104054.jpg / 63 m² | 3quarto(s) | 2 ban. | 1 vaga(s) / Rua Alexandre Levi, Cambuci - São Paulo / 460000 /  /  / Muitas visitas","2. Mesma rua / 894537873-800.9525175574812bd9f93e5-f62e-4ccb-b477-5dc276999612-LEAD3P-f68c6c35-6718-41fd-a9d9-b0858ebe3c07.jpg / 61 m² | 3quarto(s) | 2 ban. | 2 vaga(s) / Rua Alexandre Levi, Cambuci - São Paulo / 510000 /  /  / ","2. Mesma rua / 894645130-575.4399726711142QuintoAndar1de34.jpg / 61 m² | 3quarto(s) | 2 ban. | 1 vaga(s) / Rua Alexandre Levi, Cambuci - São Paulo / 430000 /  /  / "
12741,894819287,32214659,6/16/2025,16:30,460000,522031,,Avenida do Anastácio,05119-000,São Domingos,São Paulo,-23.4881456,-46.7383105,480000,1,3,0,1,Apartamento,75,,894819287-263.6766429542698DSC0131.jpg,100,0,4,4/23/2025,-0.0417,,,,894817238,0,0,0,0,0,0,0,0,"2. Mesma rua / 894817238-161.2475564257990221172381.jpg / 65 m² | 3quarto(s) | 1 ban. | 1 vaga(s) / Avenida do Anastácio, São Domingos - São Paulo / 490000 /  /  / Muitas visitas",,,,,,,,
